fact_key,date_key,fund_key,distributor_key,region_key,rm_key,opening_aum_eur,closing_aum_eur,avg_aum_eur,target_aum_eur,gross_subscriptions_eur,gross_redemptions_eur,net_subscriptions_eur,market_movement_eur,management_fee_bps,fee_revenue_eur,created_at
1,20240131,1,1,1,1,98562734.849999994,96923967.569999993,97743351.209999993,9215061.18,1347740.88,3091704.89,-1743964,105196.73,165,134397.11,2026-08-18 01:27:35.973859 UTC
2,20240229,1,1,1,1,96923967.569999993,96207726.719999999,96565847.150000006,18430122.370000001,3243807.74,2493756,750051.74,-1466292.59,165,132778.04,2026-08-18 01:27:35.973859 UTC
3,20240331,1,1,1,1,96207726.719999999,96254145.209999993,96230935.969999999,27645183.550000001,1012468.22,989699.85,22768.37,23650.11,165,132317.54,2026-08-18 01:27:35.973859 UTC
4,20240430,1,1,1,1,96254145.209999993,100679150.299999997,98466647.75,36860244.740000002,3838227.25,1350994.85,2487232.4,1937772.69,165,135391.64,2026-08-18 01:27:35.973859 UTC
5,20240531,1,1,1,1,100679150.299999997,101396685.090000004,101037917.700000003,46075305.920000002,1575002.43,3338044.91,-1763042.48,2480577.28,165,138927.14,2026-08-18 01:27:35.973859 UTC
6,20240630,1,1,1,1,101396685.090000004,102304264.310000002,101850474.700000003,55290367.109999999,1425373.16,2602135.2,-1176762.04,2084341.26,165,140044.4,2026-08-18 01:27:35.973859 UTC
7,20240731,1,1,1,1,102304264.310000002,98931513.849999994,100617889.079999998,64505428.289999999,2222444.89,3656040.14,-1433595.25,-1939155.21,165,138349.6,2026-08-18 01:27:35.973859 UTC
8,20240831,1,1,1,1,98931513.849999994,101691798.180000007,100311656.019999996,73720489.480000004,2741406.81,2777855.65,-36448.84,2796733.17,165,137928.53,2026-08-18 01:27:35.973859 UTC
9,20240930,1,1,1,1,101691798.180000007,99648792.709999993,100670295.450000003,82935550.659999996,1186637.01,3252557.04,-2065920.03,22914.55,165,138421.66,2026-08-18 01:27:35.973859 UTC
10,20241031,1,1,1,1,99648792.709999993,100830901.870000005,100239847.290000007,92150611.849999994,3226240.82,1773132.94,1453107.87,-270998.71,165,137829.79,2026-08-18 01:27:35.973859 UTC
